DOID	Metab
DOID:10652	HMDB0000001
DOID:9970	HMDB0000001
DOID:9352	HMDB0000001
DOID:14701	HMDB0000001
DOID:9269	HMDB0000001
DOID:13922	HMDB0000001
DOID:9256	HMDB0000002
DOID:13922	HMDB0000005
DOID:9256	HMDB0000008
DOID:5419	HMDB0000008
DOID:10652	HMDB0000008
DOID:9255	HMDB0000008
DOID:3649	HMDB0000008
DOID:13922	HMDB0000008
DOID:9269	HMDB0000008
DOID:5394	HMDB0000010
DOID:9352	HMDB0000011
DOID:0080153	HMDB0000011
DOID:0080119	HMDB0000012
DOID:9256	HMDB0000012
DOID:8778	HMDB0000012
DOID:13922	HMDB0000012
DOID:8778	HMDB0000014
DOID:9256	HMDB0000014
DOID:0050811	HMDB0000015
DOID:0050811	HMDB0000016
DOID:9256	HMDB0000017
DOID:8778	HMDB0000017
DOID:13922	HMDB0000017
DOID:9256	HMDB0000019
DOID:9269	HMDB0000019
DOID:5419	HMDB0000020
DOID:9256	HMDB0000020
DOID:8778	HMDB0000020
DOID:1324	HMDB0000020
DOID:0080016	HMDB0000020
DOID:13922	HMDB0000020
DOID:9281	HMDB0000020
DOID:14330	HMDB0000022
DOID:0060693	HMDB0000022
DOID:9352	HMDB0000023
DOID:9256	HMDB0000023
DOID:13922	HMDB0000023
DOID:10581	HMDB0000024
DOID:9256	HMDB0000026
DOID:9256	HMDB0000030
DOID:1307	HMDB0000030
DOID:2377	HMDB0000030
DOID:13922	HMDB0000030
DOID:5419	HMDB0000031
DOID:14692	HMDB0000032
DOID:10652	HMDB0000033
DOID:8778	HMDB0000033
DOID:13922	HMDB0000033
DOID:9256	HMDB0000034
DOID:8778	HMDB0000034
DOID:10652	HMDB0000034
DOID:9255	HMDB0000034
DOID:13922	HMDB0000034
DOID:684	HMDB0000036
DOID:9256	HMDB0000036
DOID:8778	HMDB0000036
DOID:13608	HMDB0000036
DOID:0050811	HMDB0000037
DOID:0050546	HMDB0000037
DOID:0110142	HMDB0000037
DOID:0110143	HMDB0000037
DOID:0110145	HMDB0000037
DOID:0110146	HMDB0000037
DOID:0060296	HMDB0000037
DOID:0050811	HMDB0000037
DOID:9256	HMDB0000038
DOID:8778	HMDB0000039
DOID:9256	HMDB0000039
DOID:10608	HMDB0000039
DOID:12849	HMDB0000039
DOID:7148	HMDB0000039
DOID:13922	HMDB0000039
DOID:2377	HMDB0000042
DOID:8778	HMDB0000042
DOID:9256	HMDB0000042
DOID:10608	HMDB0000042
DOID:12849	HMDB0000042
DOID:13189	HMDB0000042
DOID:1324	HMDB0000042
DOID:14755	HMDB0000042
DOID:14701	HMDB0000042
DOID:0050726	HMDB0000042
DOID:9281	HMDB0000042
DOID:9269	HMDB0000042
DOID:13922	HMDB0000042
DOID:9256	HMDB0000043
DOID:5419	HMDB0000043
DOID:0050544	HMDB0000043
DOID:8778	HMDB0000043
DOID:1793	HMDB0000043
DOID:3388	HMDB0000043
DOID:10652	HMDB0000043
DOID:9255	HMDB0000043
DOID:1324	HMDB0000043
DOID:14755	HMDB0000043
DOID:14701	HMDB0000043
DOID:9281	HMDB0000043
DOID:9269	HMDB0000043
DOID:13922	HMDB0000043
DOID:3613	HMDB0000044
DOID:13922	HMDB0000044
DOID:10652	HMDB0000045
DOID:9256	HMDB0000045
DOID:8778	HMDB0000045
DOID:9255	HMDB0000045
DOID:8778	HMDB0000050
DOID:9256	HMDB0000050
DOID:10652	HMDB0000050
DOID:9255	HMDB0000050
DOID:13922	HMDB0000050
DOID:0111038	HMDB0000050
DOID:0050762	HMDB0000050
DOID:0050710	HMDB0000051
DOID:14755	HMDB0000051
DOID:9273	HMDB0000051
DOID:9273	HMDB0000051
DOID:0060067	HMDB0000051
DOID:0070132	HMDB0000051
DOID:3651	HMDB0000051
DOID:0090129	HMDB0000051
DOID:0050799	HMDB0000051
DOID:0080099	HMDB0000051
DOID:9278	HMDB0000052
DOID:14755	HMDB0000052
